age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,y
32,4,0,6,0,0,0,0,3,3,131,5,1,no
37,10,3,6,0,0,0,0,4,3,100,1,1,no
55,5,0,5,1,2,0,0,3,2,131,2,1,yes
44,2,1,0,1,0,0,1,4,3,48,2,1,no
28,0,2,3,0,0,0,0,5,0,144,2,1,no
45,10,1,2,0,0,0,0,1,0,126,3,1,no
55,0,0,6,0,0,0,0,7,0,189,1,1,yes
46,0,1,3,0,0,0,1,4,3,107,3,1,no
53,1,2,2,0,2,0,0,3,4,355,1,1,no
30,0,2,6,0,0,0,0,1,1,135,1,1,no
55,4,1,7,0,2,0,0,9,0,156,2,0,no
39,1,1,2,1,0,0,0,3,3,181,1,1,no
55,1,1,2,0,2,0,0,0,2,66,1,0,no
55,0,0,6,0,0,0,1,7,4,36,1,1,no
46,4,1,2,0,0,0,1,6,0,43,1,1,no
35,1,1,2,1,0,0,1,6,0,288,3,1,yes
43,6,1,6,0,2,0,0,5,1,264,2,2,no
37,6,1,3,0,0,0,1,6,0,554,5,1,no
30,9,1,5,0,2,2,1,4,1,82,1,1,no
55,5,1,3,0,0,0,0,7,1,554,2,0,yes
38,10,2,3,0,2,0,1,6,3,554,3,1,no
55,5,1,7,0,0,2,0,1,3,554,1,2,no
34,1,1,2,0,2,0,1,6,2,399,5,1,no
30,9,2,5,0,0,2,1,3,2,156,5,1,no
55,4,0,6,0,2,0,0,0,1,232,3,1,yes
34,1,1,0,0,2,0,1,6,1,102,1,1,no
33,9,0,5,0,2,0,1,6,1,110,2,1,no
44,4,1,2,0,0,0,0,6,3,296,1,1,no
43,7,1,0,0,2,0,0,7,1,92,1,1,no
34,0,1,6,0,2,0,0,6,1,304,1,1,no
41,0,1,3,0,2,0,0,7,1,353,1,1,no
48,1,1,2,1,0,0,1,4,0,81,5,1,no
41,7,1,2,0,2,2,1,6,3,296,1,1,no
28,1,2,1,1,2,0,0,6,3,387,3,1,no
36,7,1,3,0,2,0,1,6,2,81,1,1,no
30,1,1,2,0,2,0,1,6,1,123,5,1,no
43,2,1,6,0,0,0,1,6,2,177,2,1,no
50,1,1,0,1,0,0,0,1,4,157,2,1,no
45,9,0,5,1,2,0,0,1,0,36,5,1,no
34,9,1,3,0,2,2,0,7,2,116,1,1,no
39,9,1,5,0,1,1,0,3,4,68,3,1,no
33,1,1,1,0,0,0,1,3,4,292,1,1,no
34,1,1,2,0,0,0,1,4,1,157,5,1,yes
35,4,1,6,0,0,0,0,1,3,253,1,1,no
43,1,1,0,0,2,0,1,4,4,36,4,1,no
41,9,1,5,0,0,2,1,6,0,36,2,1,no
52,0,0,1,0,2,0,1,4,4,219,1,1,yes
46,0,1,3,1,2,2,1,6,1,358,3,1,no
53,2,0,6,0,0,0,1,7,1,247,1,1,no
51,6,1,2,0,2,0,1,6,2,162,2,1,no
37,6,1,2,0,0,0,1,6,0,327,1,1,no
39,0,2,7,0,0,0,1,6,3,411,1,1,no
39,4,0,6,1,2,0,1,6,3,205,2,1,no
42,1,1,2,0,2,0,1,4,0,516,5,1,no
32,0,1,3,0,0,0,0,7,3,464,3,1,no
26,7,2,2,1,2,0,0,6,3,191,1,0,no
49,1,1,7,1,0,0,1,4,4,112,4,1,no
49,0,0,2,0,2,0,1,6,2,312,3,1,no
46,0,0,2,0,2,0,1,6,2,56,2,1,no
35,9,1,5,0,2,2,1,6,0,36,2,1,yes
46,6,1,6,0,0,2,0,3,3,554,5,1,yes
29,7,2,6,0,0,0,1,6,0,332,1,1,no
55,4,1,0,0,0,0,1,6,3,325,3,1,no
47,4,1,0,1,2,0,0,7,4,117,1,1,no
29,7,1,3,0,2,2,0,6,3,380,1,1,no
26,9,2,6,0,0,2,0,3,4,109,3,1,no
26,0,1,7,0,0,0,0,5,2,359,1,0,no
28,9,1,6,0,2,0,0,3,4,321,1,1,no
26,9,1,5,0,0,0,1,6,2,260,1,1,no
34,0,1,5,0,2,0,0,1,4,276,3,1,no
39,9,1,6,1,2,0,0,1,0,207,4,1,no
37,0,2,6,0,0,0,0,1,2,105,1,1,no
33,7,1,0,0,0,0,1,6,2,402,1,1,no
32,1,2,2,0,2,0,0,7,2,75,2,1,no
38,1,1,2,0,0,0,1,4,4,333,1,1,no
46,0,1,6,1,0,0,0,1,3,123,2,1,no
39,1,1,1,1,0,0,0,6,3,132,1,1,no
27,0,2,6,0,0,0,0,6,0,86,1,2,no
30,0,1,6,0,2,2,0,0,2,554,2,1,no
32,1,2,0,0,2,2,1,4,1,156,1,1,no
36,1,2,1,0,2,0,0,7,3,330,1,1,no
50,0,1,3,0,2,0,0,0,1,554,2,1,no
27,9,2,6,0,2,0,0,1,2,250,3,0,no
44,1,0,2,0,2,0,1,6,4,166,1,1,no
55,5,1,6,0,0,0,1,1,1,133,1,1,no
55,1,1,7,1,2,0,0,1,0,286,1,1,no
55,5,1,6,0,2,2,1,0,1,89,5,1,no
29,0,2,3,0,2,0,0,9,2,216,1,2,no
38,9,1,3,0,2,0,0,3,3,554,5,1,yes
31,1,1,2,0,2,0,1,4,1,208,1,1,no
37,9,0,2,0,2,0,0,0,1,247,1,0,no
39,1,0,2,1,0,0,0,6,4,95,1,0,no
34,9,1,5,0,0,0,0,6,3,278,2,1,no
30,9,2,6,1,2,0,0,6,2,63,3,1,no
39,10,1,5,0,2,0,1,4,4,281,4,1,yes
26,1,2,3,0,2,0,0,3,3,214,1,1,no
40,0,0,6,0,2,0,0,0,2,194,2,1,no
30,6,2,6,0,2,0,0,9,3,191,1,1,no
34,0,0,6,0,0,0,0,7,2,493,2,0,no
44,4,1,3,1,2,0,0,3,1,102,5,1,no
38,2,1,1,0,0,0,0,4,3,271,1,2,no
29,0,2,3,0,0,0,1,3,4,38,1,1,no
33,9,1,3,0,0,0,0,1,3,398,2,1,no
29,4,2,6,0,2,0,1,7,4,103,1,1,no
29,1,2,1,0,0,0,0,1,0,260,3,1,no
54,4,0,6,0,0,0,1,6,1,554,2,1,no
51,0,1,3,0,2,0,0,7,1,89,1,1,yes
26,1,0,3,0,2,0,0,3,4,57,2,1,no
48,1,0,5,0,0,0,0,7,1,554,1,1,no
55,5,1,0,0,2,0,1,6,1,102,2,1,yes
30,1,1,0,1,0,0,1,6,0,142,3,0,no
55,1,1,2,1,0,0,1,6,4,150,1,1,yes
31,6,2,6,0,2,0,0,0,2,383,1,1,no
55,5,1,1,1,0,0,1,6,1,268,3,1,no
40,6,1,7,1,0,0,1,3,1,554,1,1,no
51,2,1,0,1,0,0,1,6,0,277,3,1,no
46,4,1,6,0,0,2,1,6,4,103,5,1,no
31,1,2,3,0,0,0,0,7,4,145,1,1,no
53,1,1,3,0,0,2,0,3,1,136,2,1,no
37,0,1,3,0,2,0,0,0,2,226,1,2,no
41,1,1,1,0,0,0,1,6,2,74,2,1,no
33,1,1,2,1,2,0,0,6,0,554,5,1,no
35,9,2,5,0,2,0,0,1,3,67,1,1,no
26,1,1,0,1,2,0,0,3,2,530,3,1,no
42,0,2,6,0,0,0,1,6,2,172,4,1,no
42,9,1,5,0,0,0,1,6,3,554,1,1,no
31,1,1,0,1,0,0,0,3,4,99,2,1,yes
55,5,1,5,0,1,1,0,8,2,181,1,2,no
26,8,2,3,0,2,0,0,6,2,47,3,1,no
27,0,0,3,0,2,0,1,6,3,206,2,1,no
26,4,2,6,0,2,0,1,6,1,165,2,1,no
42,6,1,0,1,2,0,0,3,0,126,3,1,no
55,7,1,0,1,2,2,0,7,0,119,1,0,no
32,0,2,6,0,2,2,0,1,4,72,2,1,no
28,0,2,3,0,0,2,0,3,0,63,5,1,no
41,0,2,3,0,0,2,1,6,1,111,1,1,no
30,7,1,3,0,2,0,0,3,0,554,1,1,no
47,1,0,2,1,0,0,1,6,4,159,2,1,no
30,0,2,3,0,2,0,0,6,2,464,2,1,no
55,1,1,1,1,0,0,0,3,3,232,4,1,no
55,5,1,0,0,2,2,0,3,0,67,2,1,no
40,9,1,3,0,2,0,0,7,4,118,1,1,no
40,0,1,6,0,0,0,0,1,4,53,3,1,no
50,1,1,0,0,2,0,1,6,3,206,1,1,no
39,1,1,1,1,0,2,0,3,2,122,1,1,no
37,1,3,1,1,0,2,1,6,0,36,2,1,no
33,0,0,3,0,0,0,1,6,3,190,1,1,yes
38,7,1,2,0,1,1,1,4,0,48,1,1,no
41,2,1,1,0,0,0,1,3,3,275,2,1,no
39,9,0,5,0,2,0,0,6,0,128,2,0,no
48,9,1,5,0,0,0,0,8,2,491,1,2,no
34,6,1,5,0,1,1,1,6,0,252,4,1,no
33,4,1,6,0,0,0,1,6,2,166,3,1,no
41,0,2,1,0,1,1,1,6,4,92,1,1,no
30,0,2,6,0,2,0,0,3,3,255,2,2,no
31,7,1,2,0,2,0,1,6,0,186,5,1,yes
39,3,1,5,0,2,0,0,1,0,192,2,1,yes
36,1,1,2,0,2,0,1,6,4,231,2,1,no
44,9,1,5,0,2,0,1,4,3,57,2,1,no
51,1,1,0,0,0,0,0,3,0,46,1,1,no
38,1,1,5,0,0,0,1,4,1,182,3,1,no
49,10,1,5,0,2,0,0,4,3,298,3,1,no
43,9,1,3,0,2,0,0,9,2,531,1,1,no
55,0,1,3,0,2,0,0,7,3,173,1,0,no
46,0,1,6,1,0,0,1,4,1,230,3,1,no
43,9,2,3,0,0,0,0,7,0,61,2,1,no
54,9,0,5,1,2,0,0,1,0,343,4,1,no
31,10,2,5,0,0,0,0,7,2,250,1,0,no
41,0,2,3,0,2,0,1,6,3,214,1,1,no
43,9,1,3,0,0,0,0,3,4,332,3,1,no
55,5,1,6,0,0,0,0,7,1,507,1,1,yes
48,9,0,5,0,0,0,0,3,4,127,2,1,no
43,4,1,7,1,0,2,0,0,2,36,1,1,no
55,5,1,1,0,0,0,0,6,1,233,2,1,yes
50,4,1,6,0,2,0,1,6,4,281,2,1,yes
39,1,2,0,0,1,1,0,6,4,554,3,1,no
34,0,2,3,0,0,0,0,0,3,231,1,1,no
38,0,1,1,0,0,0,0,3,2,169,5,1,no
26,9,1,2,1,0,0,1,4,4,554,1,1,yes
27,0,1,3,0,2,0,0,6,4,319,2,1,no
44,4,1,6,0,2,0,0,4,3,71,3,1,no
29,6,1,5,0,0,0,1,4,4,36,1,1,no
42,1,1,1,1,0,0,0,7,3,364,2,1,no
52,1,1,2,0,2,0,1,6,3,319,1,1,no
46,0,1,6,0,2,0,0,3,0,341,3,1,no
43,1,1,0,0,2,0,1,4,4,109,1,1,no
36,0,2,3,0,0,0,0,3,2,165,1,1,no
50,6,1,6,0,2,0,1,4,0,306,2,1,no
54,9,1,6,0,0,0,0,7,3,432,2,1,no
54,7,2,3,1,0,0,1,6,2,144,1,1,yes
37,9,2,5,0,0,0,0,1,2,120,1,1,yes
55,1,0,0,0,0,0,1,4,1,554,4,1,no
35,1,1,7,0,2,0,0,6,2,554,3,1,no
29,0,2,6,0,0,0,0,1,3,103,4,1,no
45,0,0,6,0,2,0,0,3,2,554,2,1,no
50,0,0,0,0,2,0,0,6,1,36,5,1,no
36,7,1,3,0,0,0,1,6,1,225,2,1,no
54,1,0,0,0,2,0,0,6,3,138,3,1,no
45,9,0,5,0,2,2,0,7,2,554,1,1,no
44,0,1,6,1,2,2,0,1,2,163,1,1,no
36,7,1,3,0,1,1,0,0,3,104,3,1,no
55,2,1,5,1,2,0,0,3,0,243,2,1,no
27,0,1,6,0,0,2,0,3,0,554,2,1,no
29,0,1,3,0,2,0,0,7,1,155,1,1,no
26,10,2,2,0,0,2,1,6,2,546,5,1,no
53,1,1,0,1,0,0,0,3,0,93,4,1,no
55,1,1,2,1,2,0,0,1,2,152,2,1,no
39,9,1,5,0,2,2,0,6,2,113,2,1,no
29,7,2,3,0,2,0,1,3,4,206,1,1,no
55,5,1,0,1,2,0,1,6,0,554,2,1,no
30,4,2,6,0,2,0,1,6,4,83,1,1,no
55,4,1,2,0,0,0,0,3,4,109,3,1,no
55,9,1,6,1,0,0,0,3,1,36,5,1,no
54,2,1,6,0,2,0,1,4,4,39,2,1,yes
35,1,2,2,0,2,0,0,6,4,181,1,1,no
55,4,1,6,1,2,0,0,3,2,212,1,1,no
30,0,2,6,0,0,0,0,6,3,113,1,2,no
35,7,2,0,0,0,0,1,6,3,329,1,1,no
38,0,2,2,0,2,0,0,7,1,554,1,0,no
33,9,2,2,0,0,0,0,7,3,61,3,1,no
26,9,2,6,0,2,0,0,8,0,374,1,1,no
35,0,2,6,0,2,0,1,7,3,263,2,1,no
31,6,1,6,0,2,2,0,7,1,60,1,0,no
31,9,2,6,0,2,2,0,3,2,328,1,1,no
34,0,1,6,0,2,0,1,3,0,126,4,1,no
30,0,2,6,0,0,0,0,3,2,257,2,1,no
49,7,1,3,0,2,0,0,1,3,158,2,1,no
27,6,2,6,0,0,0,0,1,1,241,2,1,no
37,1,1,0,0,0,0,0,6,2,345,1,1,no
48,7,1,7,0,0,0,0,7,1,51,1,1,no
52,0,1,6,0,2,0,0,1,3,469,1,1,yes
49,9,1,6,0,0,0,0,6,2,188,1,0,yes
46,1,0,2,0,2,0,1,6,0,133,1,1,no
38,1,1,3,0,0,0,1,4,1,358,3,1,no
48,0,0,3,0,2,2,1,4,2,554,2,1,no
31,9,2,5,0,2,0,0,3,3,77,3,1,no
33,1,1,2,1,0,2,1,4,3,321,1,1,no
42,0,0,6,0,2,0,0,1,1,91,5,1,no
34,1,1,2,0,2,0,1,6,3,355,2,1,no
31,1,2,2,0,0,2,0,3,4,85,2,1,no
48,9,0,5,0,2,2,0,3,4,232,1,1,no
34,1,1,2,0,0,0,1,4,0,114,5,1,no
37,4,2,6,0,0,0,0,0,1,161,1,0,no
55,2,1,6,0,0,0,0,9,3,170,1,0,no
55,0,1,1,0,2,0,1,6,3,210,3,1,no
55,5,1,0,1,2,0,0,6,4,205,1,0,no
55,6,1,6,0,2,2,0,1,3,554,4,1,no
38,7,1,1,0,2,0,0,7,2,88,2,1,no
48,1,1,5,0,0,0,1,6,1,219,2,1,yes
51,0,1,6,0,2,0,0,7,4,93,1,1,no
31,1,1,1,1,1,1,1,6,0,554,1,1,no
27,0,1,5,0,2,0,0,6,2,102,1,0,no
35,7,1,3,1,2,2,0,6,4,224,1,1,no
30,0,1,6,0,0,0,0,0,3,161,1,1,yes
39,2,1,5,0,2,0,0,7,2,195,3,0,no
34,0,1,6,0,0,2,1,6,1,165,2,1,no
29,0,2,6,0,2,2,0,1,4,153,3,1,no
55,4,1,6,0,2,0,0,4,3,114,3,1,no
32,7,2,3,0,0,0,1,4,1,223,2,1,no
50,0,0,2,0,0,0,1,6,0,145,4,1,no
47,7,2,2,0,0,0,0,3,1,64,2,1,no
36,9,1,5,0,0,0,0,1,1,554,3,1,yes
26,0,2,6,0,2,0,0,9,2,420,1,2,no
30,6,2,6,0,2,0,1,6,2,244,2,1,no
32,0,2,6,0,2,0,0,7,3,145,2,0,no
28,9,1,5,0,0,0,1,3,2,45,1,1,no
32,4,1,6,0,0,0,0,7,3,107,1,1,no
27,7,1,3,1,0,0,1,6,0,136,2,1,no
35,9,0,5,1,0,0,0,7,3,143,1,1,no
51,1,1,7,1,0,2,1,6,1,76,3,1,no
30,0,1,6,0,1,1,0,1,2,55,5,1,no
55,5,1,3,0,0,0,1,6,4,302,1,1,no
28,7,1,3,0,2,0,0,3,3,191,1,1,no
47,9,0,3,0,0,0,0,3,2,42,5,1,no
42,4,1,6,1,2,0,1,6,4,265,1,1,no
45,7,1,6,1,2,0,1,3,1,317,5,1,no
31,1,1,2,0,2,0,1,4,4,554,2,1,no
27,0,0,3,0,0,0,1,6,3,290,4,1,no
49,1,1,0,1,2,0,0,3,3,56,3,1,yes
26,8,2,3,0,0,0,0,1,2,185,2,2,no
43,1,1,0,1,1,1,0,6,1,485,2,1,no
30,1,2,0,1,0,0,1,4,1,554,1,1,no
41,0,1,6,0,2,0,0,1,0,36,5,1,no
27,7,2,3,0,0,0,0,3,2,129,2,1,no
34,1,1,2,0,0,0,0,7,3,54,1,0,no
52,9,1,5,0,2,2,0,9,3,77,1,1,no
48,7,1,3,1,2,2,0,1,4,190,1,1,no
36,1,1,2,0,2,0,0,6,3,415,1,1,no
55,3,0,1,1,2,0,0,6,3,130,1,1,no
29,0,1,6,0,2,0,0,6,4,126,2,0,yes
26,0,2,6,0,1,1,0,4,3,554,2,1,no
53,6,1,6,0,2,0,0,7,0,61,4,1,no
45,1,1,0,0,0,0,1,6,1,101,1,1,yes
55,5,1,7,0,0,0,0,0,2,117,1,1,no
33,1,1,2,1,2,0,0,6,2,554,3,1,no
36,0,1,6,0,2,2,0,1,0,96,1,0,no
48,6,1,3,0,2,0,0,1,0,175,1,1,no
41,4,1,7,0,2,0,1,4,0,143,2,1,no
30,6,2,6,0,2,2,0,1,4,131,3,1,no
27,0,1,5,0,2,0,0,6,2,444,1,1,no
48,2,1,2,0,2,0,0,3,4,44,5,1,no
26,7,2,5,0,0,0,0,3,3,363,1,0,no
47,9,2,7,0,0,0,0,3,3,117,2,1,no
27,6,2,6,0,0,2,1,4,0,100,4,1,no
35,10,2,1,1,2,0,0,7,3,76,1,1,yes
46,1,0,1,0,1,1,1,4,2,45,5,1,no
35,4,2,6,0,2,0,0,3,3,554,5,1,no
31,9,1,5,0,0,0,0,1,1,36,1,1,no
26,7,2,3,0,2,0,0,6,0,53,2,1,no
55,1,1,5,0,1,1,1,6,0,340,1,1,no
46,6,1,6,0,0,2,0,1,2,432,3,1,no
55,5,1,0,1,2,0,0,8,0,476,1,2,no
52,10,1,7,0,0,0,1,6,1,472,3,1,no
37,1,0,2,0,2,0,0,3,2,554,4,1,no
48,1,2,0,0,0,2,0,3,3,271,1,1,no
45,0,1,3,0,2,0,0,1,2,41,1,1,no
54,9,1,3,0,2,0,0,3,3,187,4,1,no
27,1,1,1,1,2,0,1,4,1,235,1,1,no
33,9,2,5,0,2,0,0,6,4,519,2,0,no
47,7,1,2,0,2,0,0,0,2,554,3,1,no
42,1,1,2,0,2,0,0,3,2,57,3,1,no
30,0,2,6,0,2,0,1,6,2,68,1,1,no
26,4,2,6,0,0,0,1,4,0,554,1,1,no
43,0,1,3,0,2,2,0,3,1,183,3,1,no
38,9,1,5,0,2,0,0,1,3,124,3,1,no
35,1,1,0,0,2,0,0,0,0,98,1,1,no
32,1,1,3,0,2,0,0,7,4,104,1,1,yes
55,1,1,0,1,2,0,1,6,0,334,1,1,no
33,6,1,1,0,0,0,1,6,0,554,5,1,no
34,0,2,3,0,2,0,0,6,0,554,2,1,no
41,6,1,6,0,2,0,1,6,0,150,5,1,no
41,0,1,3,0,0,0,1,4,2,152,2,1,no
35,6,1,6,0,2,0,0,4,2,269,1,1,no
32,0,2,6,0,2,0,1,7,0,135,1,1,no
40,9,0,6,0,0,0,0,1,3,207,3,1,no
26,8,2,0,0,2,0,0,6,2,220,1,0,yes
45,4,1,3,1,2,0,0,1,4,228,1,1,no
34,0,2,6,0,0,0,0,7,2,169,1,2,no
33,0,1,6,0,0,0,0,1,4,140,1,1,yes
32,3,1,0,0,2,0,1,6,2,325,1,1,no
33,9,2,6,0,0,0,0,1,0,120,1,1,no
35,9,2,6,0,0,0,0,1,2,165,1,1,no
55,2,0,6,0,1,1,0,0,4,121,2,0,no
31,1,1,1,0,0,0,0,3,0,255,2,1,no
42,2,1,3,0,2,0,1,6,0,81,1,1,no
34,4,1,6,0,2,0,1,7,2,36,1,1,no
37,1,1,2,0,0,0,0,6,0,65,2,0,no
54,6,1,2,0,0,2,0,7,3,72,1,1,no
35,0,2,6,0,2,0,1,6,3,153,1,1,no
51,9,1,5,0,2,0,0,0,2,341,1,1,no
47,1,1,1,0,2,0,1,4,2,554,1,1,no
49,0,2,3,0,2,0,0,3,3,554,1,1,no
44,1,1,3,0,0,0,1,6,4,250,4,1,no
39,4,2,6,0,2,0,1,4,2,160,5,1,no
55,3,1,1,1,2,0,1,6,3,121,2,1,no
44,3,1,2,1,2,0,1,6,1,118,4,1,no
28,0,2,3,0,0,0,0,5,0,347,2,1,no
31,9,2,5,0,0,0,0,1,2,511,1,1,no
43,1,1,0,0,2,0,0,0,1,268,1,1,no
48,1,1,0,0,1,1,1,3,1,360,3,1,no
39,0,1,6,0,2,0,1,4,2,138,1,1,no
55,3,1,0,0,2,0,0,7,0,66,1,1,no
34,0,2,6,0,0,0,0,1,1,299,3,1,no
39,2,0,3,0,0,0,1,6,4,52,2,1,no
55,5,2,3,0,0,0,1,4,3,136,4,1,yes
47,4,1,6,0,2,2,0,1,1,57,2,1,no
35,9,1,7,1,0,0,1,6,2,554,2,1,no
44,10,1,3,1,2,0,0,1,4,209,1,1,no
41,2,1,0,0,0,0,0,3,1,531,1,1,no
32,0,2,6,0,0,0,0,6,0,61,4,1,no
33,1,1,2,0,2,0,1,6,4,166,1,1,no
49,0,1,6,0,2,2,1,4,2,185,2,1,no
29,1,2,2,0,2,0,1,6,3,330,2,1,no
38,1,2,2,0,0,2,0,6,4,222,2,0,no
42,9,1,2,0,0,0,0,7,1,295,1,1,no
30,4,2,3,0,0,2,0,7,3,322,1,1,no
26,1,1,2,0,2,2,1,6,0,101,5,1,no
55,11,2,7,1,2,0,1,6,3,211,1,1,no
40,9,1,5,1,2,0,0,3,2,554,5,1,no
26,1,1,0,0,2,0,0,3,2,144,1,1,no
29,0,1,6,0,2,2,0,1,1,164,1,1,no
43,1,1,1,1,2,0,0,0,0,36,4,1,no
35,0,2,3,0,0,0,0,6,3,107,2,0,no
40,4,0,6,0,2,0,0,4,4,117,1,1,no
55,5,1,3,0,0,0,0,2,2,155,1,2,no
27,0,2,7,0,0,0,0,5,1,291,1,0,no
42,0,2,3,0,0,0,1,3,2,229,4,1,no
50,0,1,3,0,2,0,1,6,3,36,5,1,no
32,0,1,6,0,2,0,1,6,2,151,5,1,no
35,6,2,6,0,2,0,0,3,4,554,1,1,no
26,6,2,6,0,0,0,1,6,2,241,3,1,no
26,1,2,2,1,2,0,1,6,1,260,5,1,no
29,10,1,6,0,1,1,0,3,2,177,2,1,no
26,8,2,3,0,2,2,0,6,1,554,3,1,no
55,5,0,3,0,2,0,0,3,4,173,4,1,no
41,0,2,3,0,2,2,1,6,4,166,2,1,no
32,1,1,2,0,0,0,0,0,0,208,1,0,no
55,4,1,6,0,2,0,1,6,1,364,1,1,no
55,0,1,3,0,2,0,0,1,4,554,2,2,no
38,9,1,5,0,2,0,1,7,3,205,1,1,no
38,7,1,3,0,2,0,0,0,1,36,3,1,no
29,7,1,3,1,1,1,1,6,4,159,1,1,no
41,1,1,2,0,0,0,0,0,3,161,1,0,yes
38,6,1,2,0,2,0,1,6,0,103,5,1,no
38,4,2,6,0,0,0,1,3,4,284,5,1,no
51,0,1,6,1,2,0,0,1,3,147,2,1,no
